Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-91.42173	-126.2076	34.78589	0.147599	0.387335	0.612665	0.852401	1.201357	0.000350293	0.00494428	0.0109195	0.029843	0.0240587	0.00319436	0.0503842	0.0089249	0.000469914	0.0235815	0.0204601	0.00023638	0.00612591	0.0704587	0.0482325	0.0615226	0.00423859	0.00317306	0.0522774	0.0276466	0.00229957	0.00261418	0.032345	0.0023327	0.0112209	0.0102437	0.0165867	0.0215884	0.000162736	0.517879	0.163228	0.0630876	0.255806	0.647884	0.80922	0.936092	1.06827	1.23576	1.54349	0.3138435	0.000636392	0.00898247	0.0198379	0.0542169	0.0437083	0.00580332	0.091535	0.0162142	0.000853713	0.0428415	0.0371706	0.000429441	0.0111292	0.128005	0.0876259	0.111771	0.00770041	0.00576462	0.0949744	0.0502268	0.00417772	0.00474928	0.0587625	0.0042379	0.0203854	0.0186102	0.0301337	0.0392206	0.000295649	0.5504363
36	-88.63989	-122.743	34.10313	0.19048	0.407113	0.592887	0.80952	1.70021	0.000636745	0.0162876	0.000426431	0.0567859	0.016913	0.000842539	0.0223421	0.0414621	0.0118652	0.0123416	0.0173445	5.18781e-05	0.0487666	0.0211751	0.0584897	0.107117	0.0355813	0.0278036	0.0747513	0.0408085	0.00683528	0.0306759	0.00430352	0.0454959	0.0245546	0.0571684	0.0487981	0.00850455	0.0104869	0.456618	0.24983	0.267489	0.0260631	0.57832	0.765612	0.920053	1.08689	1.30614	1.72915	0.395973	0.000750334	0.0191931	0.000502503	0.0669159	0.0199301	0.00099284	0.0263277	0.0488585	0.0139819	0.0145433	0.0204386	6.11326e-05	0.057466	0.0249526	0.0689237	0.126225	0.0419286	0.0327635	0.0880862	0.0480884	0.00805463	0.0361481	0.00507123	0.0536119	0.0289349	0.0673667	0.0575032	0.0100217	0.0123577	0.8486155
72	-87.6801	-120.9243	33.24416	0.182883	0.403881	0.596119	0.817118	1.597731	0.0136648	0.00401251	0.0159672	0.0213748	0.0148935	0.00598962	0.0595192	0.0785464	0.00991236	0.168867	0.100523	0.0255398	0.132929	0.0388434	0.0685028	0.105402	0.0574398	0.0545022	0.098017	0.106577	0.0545318	0.0410617	0.0540311	0.025942	0.0680818	0.0678723	0.051249	0.0250794	0.0961505	0.853933	0.0570747	0.0715211	0.0174714	0.590586	0.773489	0.922996	1.08343	1.29284	1.69323	0.3807966	0.00820696	0.00240988	0.00958979	0.0128375	0.0089449	0.00359732	0.0357468	0.0471744	0.00595329	0.10142	0.0603733	0.015339	0.0798364	0.0233291	0.0411422	0.0633033	0.0344979	0.0327336	0.0588682	0.0640093	0.0327514	0.0246614	0.0324507	0.0155806	0.0408894	0.0407636	0.0307797	0.0150625	0.0577473	1.665023
108	-84.65356	-119.2043	34.55073	0.175198	0.400505	0.599496	0.824802	1.500973	0.00667167	0.00204705	0.00284921	0.0100021	0.0125058	0.00650378	0.0475581	0.0593791	0.00169047	0.0397306	0.017158	0.038186	0.025088	0.0242867	0.0619417	0.121648	0.0603025	0.0186121	0.0861939	0.0266336	0.0103806	0.0574085	0.0122911	0.00255672	0.0208707	0.0692401	0.0283362	0.0050014	0.0251731	0.164314	0.245431	0.445255	0.145	0.906332	0.953167	0.985147	1.01508	1.04913	1.10335	0.07111354	0.00741093	0.00227387	0.00316492	0.0111104	0.0138915	0.00722443	0.0528278	0.0659586	0.00187779	0.044133	0.0190592	0.0424172	0.0278679	0.0269778	0.0688052	0.135128	0.0669844	0.0206745	0.0957446	0.0295848	0.0115308	0.0637697	0.013653	0.00284002	0.0231833	0.0769123	0.0314761	0.00555559	0.0279624	0.9002472
144	-88.85696	-123.2945	34.43752	0.0508967	0.314815	0.685185	0.949103	0.5059996	0.00215632	0.000499138	0.00817897	0.0646997	0.00974586	0.00278927	0.00942191	0.0856733	0.00156893	0.00826088	0.0493517	0.05583	0.015353	0.0267665	0.0875529	0.271819	0.0263001	0.0292602	0.0517699	0.0742263	0.0975071	0.0366697	0.0432882	0.01063	0.110458	0.00474252	0.0359126	0.00100168	0.00150767	0.497005	0.24635	0.230077	0.0265688	0.31984	0.573528	0.840763	1.1894	1.7436	3.12656	0.8242514	0.00176322	0.000408145	0.00668795	0.0529049	0.00796919	0.00228079	0.0077043	0.0700551	0.00128291	0.00675493	0.0403549	0.0456522	0.0125542	0.0218869	0.071592	0.222267	0.0215056	0.0239261	0.0423323	0.0606949	0.0797316	0.0299848	0.0353968	0.00869218	0.0903214	0.00387796	0.0293658	0.000819076	0.00123282	1.222942
180	-88.47114	-122.637	34.16585	0.139428	0.383062	0.616938	0.860572	1.124632	0.00119117	0.000348951	0.00522792	0.00374326	0.013367	0.00122101	0.0917664	0.0318195	0.0162772	0.0653249	0.115458	0.0454262	0.0388382	0.0156809	0.0380951	0.120373	0.00449753	0.0345999	0.0510569	0.0428681	0.0490248	0.0168271	0.0912627	0.0456038	0.0120399	0.0567149	0.072152	0.0213752	0.00537486	0.0285391	0.367756	0.375545	0.22816	0.440972	0.670777	0.882868	1.13267	1.49081	2.26772	0.5920306	0.00107549	0.000315064	0.00472023	0.00337974	0.0120689	0.00110244	0.0828548	0.0287294	0.0146965	0.0589811	0.104246	0.0410148	0.0350666	0.0141581	0.0343957	0.108683	0.00406077	0.0312398	0.0460987	0.0387051	0.0442639	0.015193	0.0824001	0.0411751	0.0108707	0.0512072	0.0651453	0.0192994	0.0048529	1.107556
216	-86.63371	-121.6984	35.06464	0.0837736	0.346878	0.653122	0.916227	0.7026784	0.00194731	0.00067173	0.0327654	0.000895354	0.0113005	0.00133802	0.00346784	0.0546214	0.00392358	0.00490654	0.0373351	0.00551268	0.0417826	0.0209248	0.0572804	0.172493	0.0128477	0.0773422	0.0310848	0.0385484	0.0679543	0.0130792	0.034437	0.0105341	0.0114461	0.0972176	0.0757786	0.0693627	0.0210578	0.0886058	0.576978	0.208299	0.126117	0.733123	0.859501	0.953863	1.04837	1.16347	1.36403	0.2244706	0.00192449	0.000663859	0.0323814	0.000884862	0.0111681	0.00132235	0.00342721	0.0539813	0.0038776	0.00484904	0.0368976	0.00544808	0.041293	0.0206796	0.0566092	0.170472	0.0126971	0.0764359	0.0307205	0.0380967	0.067158	0.0129259	0.0340335	0.0104107	0.0113119	0.0960784	0.0748906	0.06855	0.020811	1.011857
252	-89.10219	-123.2903	34.18814	0.0392816	0.299424	0.700577	0.960718	0.4402022	0.041689	0.0436215	0.0208052	0.0100011	0.0542566	0.00246276	0.013686	0.236625	0.0734017	0.0591424	0.0146027	0.00804891	0.0147242	0.0438412	0.0489561	0.241632	0.0107129	0.0395781	0.109368	0.00736347	0.0495718	0.0357263	0.078902	0.000462977	0.019691	0.173023	0.0844313	0.0704095	0.02899	0.00474888	0.311959	0.437488	0.245804	0.43469	0.6661	0.880943	1.13515	1.50128	2.30049	0.6024039	0.0254865	0.026668	0.0127193	0.00611414	0.0331697	0.00150561	0.00836693	0.144661	0.044874	0.0361566	0.00892733	0.00492069	0.00900165	0.0268023	0.0299293	0.147721	0.00654931	0.0241961	0.0668621	0.00450165	0.0303056	0.0218412	0.0482366	0.00028304	0.0120381	0.105777	0.051617	0.0430448	0.017723	1.635727
288	-86.52741	-119.9895	33.46208	0.234905	0.424296	0.575704	0.765095	2.47941	0.0429607	0.0192396	0.0282531	0.00886833	0.0326241	0.0317175	0.0215257	0.065862	0.00631092	0.024372	0.0118514	0.00565809	0.00900245	0.0508113	0.0367018	0.1175	0.0307495	0.03153	0.0667973	0.0332862	0.0773469	0.0142904	0.0591262	0.124244	0.0142479	0.113368	0.0770588	0.012558	0.0135557	0.756132	0.220298	0.0110153	0.0125547	0.837325	0.917054	0.973348	1.02738	1.09045	1.19428	0.1283762	0.0363637	0.0162852	0.0239146	0.00750652	0.0276144	0.026847	0.0182203	0.0557482	0.00534182	0.0206294	0.0100315	0.00478924	0.00762004	0.0430088	0.0310659	0.0994569	0.0260276	0.0266882	0.05654	0.0281748	0.0654696	0.0120959	0.0500468	0.105165	0.01206	0.0959589	0.0652257	0.0106296	0.0114741	1.181418
324	-89.30272	-124.3447	35.04203	0.00220515	0.180498	0.819502	0.997795	0.1743894	0.0506637	0.0587392	0.0226845	0.0202994	0.0194514	0.00142293	0.0503583	0.0331667	0.0113293	0.0287419	0.0291454	0.0137715	0.0141366	0.0105816	0.0261363	0.266911	0.00925612	0.0450199	0.0177347	0.0110569	0.0214438	0.0045651	0.024917	0.0980249	0.0211483	0.069607	0.111474	0.0126182	0.00920134	0.19674	0.169257	0.0268849	0.607118	0.519781	0.726783	0.905234	1.10469	1.37593	1.92389	0.4731379	0.0454951	0.0527468	0.0203703	0.0182286	0.017467	0.00127777	0.0452209	0.0297832	0.0101735	0.0258098	0.0261721	0.0123666	0.0126944	0.00950207	0.0234699	0.239681	0.00831184	0.0404272	0.0159254	0.00992887	0.0192561	0.00409938	0.0223751	0.0880248	0.0189909	0.062506	0.100102	0.0113309	0.00826265	1.113606
360	-90.51335	-125.6955	35.18213	0.074109	0.338691	0.66131	0.925891	0.6422748	0.0332302	0.00555944	0.00744031	0.00531417	0.0624306	0.00804953	0.050014	0.0297637	0.0649947	0.00832686	0.0930652	0.0175185	0.0200619	0.0143648	0.0132799	0.0979228	0.0157672	0.0122494	0.0323143	0.0132892	0.0030147	0.00382781	0.0358231	0.00813929	0.0138411	0.0131806	0.0630487	0.0144137	0.0249564	0.0799691	0.415549	0.429372	0.07511	0.598913	0.778789	0.924964	1.08112	1.28405	1.66969	0.3706736	0.0423205	0.00708027	0.00947566	0.0067679	0.0795089	0.0102515	0.0636957	0.0379058	0.0827745	0.0106047	0.118524	0.0223108	0.0255499	0.0182944	0.0169128	0.12471	0.0200804	0.0156004	0.0411541	0.0169246	0.0038394	0.00487494	0.0456228	0.0103659	0.0176274	0.0167863	0.0802961	0.0183567	0.0317834	0.7852022
396	-85.70955	-121.3576	35.64804	0.030976	0.28607	0.71393	0.969024	0.3927562	0.0296297	0.0127187	0.00276711	0.0105477	0.0391744	0.0225435	0.0564885	0.0390736	0.0185873	0.00271464	0.0386406	0.0150778	0.04238	0.026867	0.0566043	0.0831911	0.00373751	0.065982	0.0143099	0.00426521	0.0749197	0.0201823	0.051624	0.00712801	0.0299513	0.0377994	0.0372554	0.00570881	0.0266955	0.0470979	0.721534	0.076345	0.155023	0.89708	0.948409	0.98361	1.01666	1.0544	1.11473	0.07853277	0.033802	0.0145097	0.00315676	0.012033	0.0446908	0.025718	0.064443	0.0445758	0.0212047	0.0030969	0.0440818	0.017201	0.0483478	0.0306504	0.0645752	0.0949058	0.00426382	0.0752734	0.016325	0.00486582	0.0854697	0.0230243	0.0588935	0.00813175	0.0341689	0.0431222	0.0425015	0.0065127	0.0304547	0.8765651
432	-96.70423	-132.3279	35.62364	0.0600026	0.325047	0.674953	0.939998	0.5583161	0.038166	0.0245677	0.0250509	0.00392139	0.00458865	0.0651847	0.0299516	0.056835	0.0195868	0.00322126	0.025122	0.00107059	0.00140393	0.0226428	0.0720616	0.102123	0.022628	0.00290039	0.00438124	0.0136302	0.0260432	0.00737655	0.0429275	0.000685337	0.0675774	0.0268252	0.0205251	0.00824634	0.0190348	0.3831	0.0649114	0.401202	0.150787	0.951217	0.975904	0.992419	1.00764	1.02469	1.05128	0.03616272	0.0503324	0.0323992	0.0330365	0.00517143	0.0060514	0.085964	0.0394994	0.0749526	0.0258305	0.00424812	0.0331303	0.00141186	0.00185147	0.0298608	0.0950331	0.134677	0.0298413	0.00382496	0.00577787	0.0179752	0.0343452	0.00972801	0.0566117	0.000903806	0.0891195	0.0353764	0.027068	0.0108751	0.0251027	0.7582791
468	-91.99513	-125.3044	33.30931	0.224663	0.42056	0.57944	0.775337	2.26679	0.0601912	0.0750215	0.0195808	0.00106084	0.000833496	0.0180415	0.0368771	0.0692143	0.0897595	0.0608595	0.036305	0.00906817	0.0363301	0.0708057	0.0455842	0.243405	0.0050828	0.0448636	0.0108234	0.0629091	0.0136359	0.028924	0.0723152	0.0184122	0.00981709	0.0233248	0.0809665	0.0519273	0.0542999	0.460317	0.235634	0.246809	0.0572394	0.734824	0.860473	0.9542	1.048	1.16215	1.36087	0.2227954	0.0445781	0.0555616	0.0145017	0.00078567	0.000617295	0.0133617	0.0273115	0.0512608	0.0664767	0.0450731	0.0268878	0.00671597	0.0269064	0.0524394	0.03376	0.180268	0.00376436	0.0332264	0.00801588	0.0465911	0.0100989	0.0214214	0.0535573	0.0136363	0.00727062	0.0172746	0.0599645	0.0384578	0.040215	1.35024
504	-86.41232	-121.2749	34.86258	0.0941697	0.354876	0.645124	0.90583	0.7709746	0.00196467	0.0110732	0.00687818	0.0206882	0.0114998	0.0116884	0.00917195	0.0111672	0.0353462	0.0140267	0.0159076	0.0053444	0.0345874	0.0242125	0.0546821	0.0541964	0.0233761	0.00438135	0.00111797	0.000126412	0.0160132	0.00545649	0.0129198	0.0134396	0.0184571	0.00226027	0.0229256	0.013336	0.019909	0.772936	0.118244	0.0994758	0.00934394	0.39481	0.635562	0.868138	1.15189	1.57341	2.53286	0.6719841	0.00412611	0.0232555	0.0144453	0.0434486	0.0241514	0.0245476	0.0192626	0.023453	0.0742328	0.0294584	0.0334085	0.0112241	0.072639	0.0508501	0.114841	0.113821	0.0490935	0.00920155	0.00234791	0.000265485	0.0336303	0.0114595	0.0271337	0.0282254	0.0387629	0.00474693	0.0481475	0.0280078	0.0418121	0.4761539
540	-89.83105	-123.9088	34.07772	0.115786	0.369451	0.630549	0.884214	0.9267627	0.0189161	0.0115832	0.00688257	0.003504	0.0162157	0.0273015	0.0198052	0.0744571	0.0112488	0.0628311	0.00320186	0.00806919	0.000200066	0.0186463	0.00528651	0.0926704	0.00468309	0.00986834	0.00729669	0.0413512	0.0298203	0.00878919	0.00595482	0.0528657	0.0525003	0.00305426	0.0240525	0.00949515	0.0584469	0.301882	0.249567	0.41947	0.0290815	0.180224	0.433569	0.770493	1.29787	2.30644	5.54864	1.239016	0.0274545	0.0168117	0.00998924	0.00508565	0.0235352	0.039625	0.0287449	0.108066	0.0163264	0.091192	0.00464712	0.0117115	0.000290372	0.0270629	0.00767275	0.1345	0.00679696	0.0143227	0.0105903	0.0600165	0.0432806	0.0127565	0.00864272	0.0767284	0.0761981	0.00443291	0.0349094	0.0137811	0.0848288	0.6889981
576	-94.3096	-123.5572	29.24759	0.382876	0.469495	0.530504	0.617124	14.35334	0.00087279	0.0384841	0.000707333	0.0244436	0.0223401	0.0204556	0.0366182	0.0538138	0.0450557	0.00832629	0.0527748	0.0840168	0.0119489	0.0921681	0.0930366	0.105215	0.043243	0.0147264	0.0111864	0.0332234	0.0204936	0.00674239	0.00122539	0.0334149	0.0771139	0.00694583	0.0109516	0.0339219	0.0549054	0.110016	0.428306	0.342045	0.119632	0.520846	0.727509	0.905516	1.10434	1.37455	1.91995	0.4716581	0.000840538	0.037062	0.000681195	0.0235403	0.0215145	0.0196997	0.035265	0.0518252	0.0433907	0.00801861	0.0508246	0.0809121	0.0115074	0.0887622	0.0895985	0.101327	0.041645	0.0141822	0.0107731	0.0319957	0.0197363	0.00649323	0.00118011	0.0321801	0.0742643	0.00668916	0.0105469	0.0326683	0.0528764	1.038371
612	-92.47261	-124.4805	32.0079	0.20412	0.412678	0.587321	0.79588	1.903578	0.00103862	0.00142922	0.00577	0.0036956	0.00122187	0.00791251	0.0085911	0.0124288	0.00700471	0.00164889	0.000231023	0.00316654	0.00381916	0.0171913	0.00476628	0.0167209	0.00560623	0.000126355	0.00481719	0.0071233	0.000847829	1.30145e-05	0.00286148	0.00372493	0.00629074	0.00219313	0.00243463	0.00229324	0.00324761	0.239193	0.367911	0.204823	0.188072	0.0687213	0.270923	0.665363	1.50294	3.69108	14.5515	1.936159	0.00751447	0.0103405	0.0417462	0.0267378	0.00884029	0.0572473	0.0621569	0.0899226	0.0506794	0.0119298	0.00167146	0.0229101	0.0276318	0.12438	0.0344842	0.120976	0.0405613	0.000914185	0.0348525	0.0515374	0.00613407	9.41603e-05	0.0207029	0.02695	0.0455137	0.0158674	0.0176147	0.0165917	0.0234966	0.1382162
648	-91.16686	-126.0013	34.83446	0.124491	0.374702	0.625298	0.875509	0.9958314	0.0434115	0.0115694	0.0124906	0.0137973	0.00758902	0.0403976	0.0245358	0.0822262	0.000741914	0.0614081	0.0739911	0.00227033	0.0100877	0.0354461	0.0207034	0.0816868	0.0226677	0.0177649	0.0475226	0.0400397	0.0152132	0.0254152	0.0253315	0.0626068	0.0206415	0.0218544	0.033121	0.0138384	0.0479262	0.473212	0.32081	0.074764	0.131214	0.714583	0.848831	0.950153	1.05246	1.17809	1.39942	0.2429921	0.0473772	0.0126263	0.0136317	0.0150577	0.00828227	0.0440879	0.0267771	0.0897376	0.000809688	0.0670178	0.0807502	0.00247772	0.0110092	0.0386841	0.0225946	0.0891489	0.0247384	0.0193878	0.0518638	0.0436974	0.0166029	0.0277369	0.0276456	0.0683259	0.0225272	0.0238508	0.0361466	0.0151025	0.0523042	0.9162961
684	-88.19153	-122.0765	33.885	0.196087	0.409436	0.590564	0.803913	1.78062	0.0114561	0.0522015	0.00812923	0.00451559	0.020177	0.0173447	0.022897	0.0661949	0.000427437	0.00569769	0.0325949	0.0245905	0.0443296	0.015187	0.0220559	0.0756822	0.0114607	0.041838	0.0373394	0.00144355	0.0292491	0.00644072	0.0217163	0.00409252	0.0203536	0.0139603	0.0570953	0.0154707	0.00653604	0.161737	0.442556	0.199287	0.196421	0.401737	0.640975	0.870438	1.14885	1.56012	2.48919	0.6594083	0.0165916	0.075602	0.0117733	0.00653981	0.0292219	0.0251198	0.0331612	0.0958682	0.000619046	0.0082518	0.0472064	0.0356138	0.0642014	0.0219949	0.031943	0.109609	0.0165982	0.0605928	0.0540776	0.00209065	0.0423606	0.00932793	0.0314511	0.00592709	0.0294776	0.0202183	0.0826895	0.0224058	0.00946597	0.6904776
720	-91.4434	-124.5791	33.13567	0.265068	0.434678	0.565322	0.734932	3.272007	0.0105637	0.00390555	0.0226155	0.00954191	0.0134837	0.00798591	0.016293	0.0126611	0.000774678	0.00628335	0.0699174	0.0046283	0.0208965	0.0288555	0.0527693	0.148197	0.00250348	0.0136249	0.011795	0.000711304	0.056078	0.0273061	0.116325	0.0176138	0.0134069	0.0108261	0.0135467	0.0150583	0.0051873	0.194418	0.138862	0.534535	0.132185	0.586088	0.77061	0.921923	1.08469	1.29767	1.70623	0.3863256	0.0144046	0.0053256	0.0308384	0.0130113	0.0183864	0.0108896	0.022217	0.0172646	0.00105635	0.00856795	0.0953391	0.00631113	0.0284943	0.0393472	0.0719559	0.202081	0.00341374	0.0185789	0.0160836	0.000969931	0.0764678	0.0372345	0.15862	0.0240181	0.0182815	0.0147624	0.0184722	0.0205335	0.00707338	0.7333551
