Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-92.62195	-127.0969	34.4749	0.0678952	0.332962	0.667038	0.932105	0.6047569	0.00157628	0.00517783	0.0159018	0.0309626	0.00118123	0.0102608	0.0198867	0.0382939	0.000487598	0.0182004	0.0113157	0.00563301	0.0609903	0.015829	0.0173955	0.0448334	0.0173334	0.0902589	0.0434625	0.00050579	0.00343236	0.0182292	0.0821992	0.0825976	0.0197104	0.0246255	0.0139904	0.0835125	0.0269415	0.0236286	0.765609	0.116632	0.0941308	0.217532	0.475234	0.792869	1.26124	2.10422	4.59704	1.102978	0.00195878	0.00643429	0.0197605	0.0384759	0.00146786	0.0127506	0.0247124	0.0475863	0.000605919	0.0226169	0.0140616	0.00699991	0.0757902	0.0196701	0.0216167	0.0557127	0.0215395	0.112161	0.0540091	0.000628525	0.00426526	0.0226528	0.102146	0.102641	0.0244933	0.0306012	0.0173853	0.103778	0.0334791	0.8047253
36	-89.68948	-124.3202	34.63071	0.104905	0.362418	0.637582	0.895095	0.8457727	0.0124981	0.0178234	0.00208553	0.016	0.0463464	0.00797694	0.0753268	0.0809319	0.000419052	0.0458321	0.0098189	0.00527259	0.0471472	0.0750257	0.0155505	0.0476114	0.00842037	0.0188131	0.0373568	0.000528168	0.0239681	0.00990526	0.046467	0.0559276	0.0157686	0.00364466	0.016842	0.0189941	0.0682495	0.0623039	0.777189	0.0382236	0.122284	0.394172	0.63506	0.867924	1.15217	1.57465	2.53697	0.6731545	0.015048	0.0214597	0.00251101	0.0192642	0.0558019	0.00960438	0.0906949	0.0974436	0.000504546	0.0551827	0.0118221	0.0063483	0.0567661	0.0903324	0.0187231	0.057325	0.0101383	0.0226514	0.0449783	0.000635925	0.028858	0.0119261	0.0559472	0.0673379	0.0189857	0.00438824	0.0202781	0.0228693	0.0821736	0.830552
72	-91.04674	-123.7458	32.69902	0.24324	0.427253	0.572748	0.756759	2.671171	0.0730342	0.0150092	0.0481143	0.0358877	0.00640985	0.0151448	0.0828117	0.0741218	0.0197959	0.0349244	0.103805	0.0208642	0.016247	0.0394166	0.0166059	0.0971955	0.033329	0.139347	0.09749	0.00990947	0.0205255	0.0304805	0.106875	0.0936027	0.065814	0.00430349	0.020972	0.00294435	0.00163727	0.70243	0.117649	0.174942	0.00497927	0.441336	0.671047	0.882979	1.13253	1.49021	2.26585	0.5914335	0.0550529	0.0113139	0.0362684	0.027052	0.00483172	0.0114161	0.0624232	0.0558727	0.0149221	0.0263259	0.0782475	0.0157273	0.0122469	0.0297121	0.0125175	0.0732656	0.0251232	0.10504	0.0734876	0.00746972	0.0154721	0.0229761	0.0805621	0.0705574	0.0496104	0.00324396	0.0158086	0.00221944	0.00123417	1.326618
108	-93.78645	-128.3278	34.54134	0.10381	0.361678	0.638322	0.89619	0.8379269	0.00282888	0.0040614	0.0342875	0.0137159	0.0199842	0.00881395	0.0461474	0.0207616	0.0173383	0.0248412	0.0174474	0.0210552	0.00153159	0.0120531	0.0273432	0.0518418	0.00397755	0.0326289	0.0127056	0.00166588	0.00970759	0.00368008	0.0249346	0.0205904	0.00138677	0.00850636	0.000654484	0.00615303	0.00328751	0.262461	0.165444	0.0884761	0.483619	0.280257	0.53774	0.824031	1.21355	1.85964	3.56815	0.9197782	0.00623196	0.00894716	0.0755344	0.0302159	0.0440247	0.0194169	0.101662	0.0457372	0.0381958	0.0547247	0.0384362	0.0463841	0.00337405	0.0265527	0.0602365	0.114206	0.00876245	0.0718807	0.0279901	0.0036699	0.0213856	0.00810714	0.0549303	0.0453602	0.00305503	0.0187393	0.00144181	0.013555	0.00724231	0.4539314
144	-93.95747	-124.7468	30.78936	0.347699	0.459773	0.540226	0.652302	8.333865	0.019853	0.0057393	0.00586256	0.00635391	0.0521802	0.00578682	0.0836745	0.0198469	0.0481892	0.00596966	0.0916331	0.0199242	0.0320919	0.047838	0.152622	0.205343	0.0325661	0.0110594	0.0358875	0.0730567	0.0706946	0.011599	0.03541	0.029275	0.0421092	0.00431736	0.0143158	0.0427478	0.00516544	0.171762	0.412268	0.167603	0.248367	0.733383	0.85965	0.953915	1.04831	1.16326	1.36354	0.2242146	0.0163923	0.00473887	0.00484064	0.00524634	0.0430845	0.0047781	0.069089	0.0163873	0.0397892	0.00492907	0.0756603	0.0164511	0.0264979	0.0394992	0.126018	0.169549	0.0268894	0.00913164	0.0296319	0.060322	0.0583716	0.00957711	0.0292376	0.024172	0.0347691	0.00356479	0.0118204	0.0352963	0.00426504	1.211113
180	-97.38304	-132.3843	35.00131	0.0178575	0.257843	0.742157	0.982142	0.3132205	0.0213773	0.0401194	0.0395982	0.0102634	0.0189551	0.00945095	0.058533	0.0341883	0.0139929	0.00746528	0.0484779	0.0563765	0.0389263	0.00165244	0.0333623	0.0513928	0.0721867	0.0167896	0.101545	0.0117818	0.0830618	0.0690733	0.04948	0.0260306	0.00452536	0.000659721	0.0228752	0.00334302	0.000973897	0.367628	0.220797	0.330239	0.0813363	0.371137	0.616681	0.860009	1.16278	1.62158	2.69442	0.7166945	0.0225867	0.042389	0.0418383	0.010844	0.0200274	0.00998561	0.0618442	0.0361224	0.0147845	0.0078876	0.0512204	0.0595658	0.0411284	0.00174592	0.0352496	0.0543001	0.0762704	0.0177394	0.107289	0.0124483	0.0877607	0.0729809	0.0522792	0.0275032	0.00478136	0.000697042	0.0241693	0.00353214	0.00102899	0.9464576
216	-92.83625	-127.5276	34.69132	0.07434	0.338896	0.661104	0.92566	0.643688	0.0105315	0.0103097	0.0040437	0.00319343	0.0078796	0.00794215	0.017037	0.114177	0.018713	0.0021277	0.0267158	0.00863524	0.0302477	0.00353829	0.0115242	0.110523	0.0313103	0.0106371	0.0170453	0.000815563	0.0200012	0.0483139	0.0439893	0.023927	0.00394815	0.0238981	0.0442032	0.0650958	0.0127208	0.145975	0.289427	0.0304993	0.534099	0.2898	0.546593	0.82824	1.20738	1.82951	3.45065	0.8955661	0.0143667	0.0140642	0.0055163	0.00435639	0.0107491	0.0108345	0.0232414	0.155758	0.0255278	0.00290254	0.0364449	0.01178	0.0412631	0.00482684	0.015721	0.150772	0.0427127	0.0145108	0.0232528	0.00111257	0.0272851	0.0659085	0.060009	0.0326406	0.00538597	0.0326012	0.0603008	0.0888019	0.0173534	0.7330448
252	-96.77242	-126.2519	29.4795	0.378794	0.468388	0.531613	0.621206	13.37799	0.0126468	0.0258418	0.000809296	0.0145488	0.0361826	0.00589916	0.0196035	0.00970406	0.0631551	0.0225837	0.00367746	0.0326162	0.0165096	0.0837839	0.0361878	0.154515	0.0175506	0.0522647	0.0274974	0.0664079	0.0116444	0.130553	0.0303507	0.0432765	0.0247406	0.046653	0.0110785	0.0366662	0.132294	0.207518	0.584151	0.139622	0.068709	0.659387	0.816195	0.938602	1.06541	1.2252	1.51656	0.3011187	0.0108162	0.0221013	0.000692155	0.0124429	0.0309454	0.00504529	0.016766	0.00829945	0.0540137	0.0193148	0.00314517	0.0278952	0.0141199	0.0716566	0.0309498	0.13215	0.0150103	0.0446996	0.0235173	0.0567957	0.00995894	0.111656	0.0259576	0.0370125	0.0211595	0.0399002	0.00947493	0.031359	0.113145	1.169241
288	-85.97799	-121.6037	35.62572	0.00323586	0.191704	0.808296	0.996764	0.1901092	0.0215976	0.014854	0.0141483	0.0034399	0.00275179	0.00181199	0.0165137	0.0501934	0.0159984	0.00900525	0.0158294	0.00531943	0.00303985	0.00950299	0.0355589	0.070989	0.00237554	0.00852327	0.0133668	0.0238555	0.0138032	0.0210013	0.0121054	0.0564568	0.00544278	0.00124449	0.00632329	0.0658019	0.0114947	0.0654144	0.806262	0.016182	0.112142	0.629979	0.798235	0.932109	1.07284	1.25276	1.58736	0.3341081	0.0405705	0.0279027	0.0265771	0.00646174	0.00516915	0.00340376	0.0310205	0.0942866	0.0300524	0.0169161	0.029735	0.00999238	0.00571026	0.0178511	0.0667962	0.133351	0.00446238	0.0160107	0.0251092	0.0448117	0.0259288	0.0394503	0.0227396	0.106052	0.0102241	0.00233773	0.0118781	0.123607	0.0215924	0.532349
324	-90.61998	-125.7513	35.13137	0.0821488	0.345557	0.654443	0.917851	0.6923304	0.0107759	0.0125659	0.0189214	0.00473774	0.0718616	0.0147839	0.0110961	0.0824679	0.00851	0.0543164	0.0219397	0.0558448	0.0298195	0.0273371	0.0229025	0.211018	0.00281969	0.0483128	0.0189052	0.048784	0.0577522	0.00101363	0.00932039	0.170168	0.0195103	0.061755	0.0247529	0.0157501	0.00426728	0.407057	0.145744	0.331345	0.115855	0.96015	0.980362	0.993832	1.00621	1.02003	1.0415	0.02940429	0.00943589	0.0110033	0.0165685	0.00414859	0.0629255	0.0129455	0.0097163	0.0722129	0.00745177	0.0475621	0.0192115	0.0489005	0.0261114	0.0239377	0.0200545	0.184778	0.00246906	0.0423051	0.0165543	0.0427177	0.0505707	0.000887585	0.00816139	0.149008	0.0170842	0.0540757	0.0216749	0.0137916	0.00373664	1.14201
